SampleID,TimePoint,Type,PlantID,WeightGrams,Water,Inoculation,Replicate,SampleType,SpeciesRichness
KSTRAW0815,T1,Root,R01I01W01,0.2675,1,1,1,post_inoc_post_stress,41655
KSTRAW0816,T1,Root,R02I01W01,0.188,1,1,2,post_inoc_post_stress,5790
KSTRAW0817,T1,Root,R03I01W01,0.2581,1,1,3,post_inoc_post_stress,4193
KSTRAW0818,T1,Root,R04I01W01,0.067,1,1,4,post_inoc_post_stress,6874
KSTRAW0819,T1,Root,R05I01W01,0.1729,1,1,5,post_inoc_post_stress,9630
KSTRAW0820,T1,Root,R06I01W01,0.1321,1,1,6,post_inoc_post_stress,6594
KSTRAW0821,T1,Root,R07I01W01,0.0334,1,1,7,post_inoc_post_stress,13474
KSTRAW0822,T1,Root,R08I01W01,0.1349,1,1,8,post_inoc_post_stress,19329
KSTRAW0823,T1,Root,R09I01W01,0.1169,1,1,9,post_inoc_post_stress,1351
KSTRAW0824,T1,Root,R10I01W01,0.0696,1,1,10,post_inoc_post_stress,2897
KSTRAW0825,T1,Root,R11I01W01,0.1303,1,1,11,post_inoc_post_stress,1893
KSTRAW0826,T1,Root,R12I01W01,0.1895,1,1,12,post_inoc_post_stress,3267
KSTRAW0827,T1,Root,R13I01W01,0.2464,1,1,13,post_inoc_post_stress,1611
KSTRAW0828,T1,Root,R14I01W01,0.2234,1,1,14,post_inoc_post_stress,1618
KSTRAW0829,T1,Root,R01I02W01,0.0677,1,2,1,post_inoc_post_stress,1139
KSTRAW0830,T1,Root,R02I02W01,0.255,1,2,2,post_inoc_post_stress,4291
KSTRAW0831,T1,Root,R03I02W01,0.1171,1,2,3,post_inoc_post_stress,6324
KSTRAW0832,T1,Root,R04I02W01,0.1804,1,2,4,post_inoc_post_stress,12577
KSTRAW0833,T1,Shoot,R01I02W01,0.02123,1,2,1,post_inoc_post_stress,10394
KSTRAW0834,T1,Root,R05I02W01,0.0617,1,2,5,post_inoc_post_stress,1398
KSTRAW0835,T1,Shoot,R05I02W01,0.01988,1,2,5,post_inoc_post_stress,8088
KSTRAW0836,T1,Root,R06I02W01,0.2493,1,2,6,post_inoc_post_stress,3600
KSTRAW0837,T1,Shoot,R06I02W01,0.04132,1,2,6,post_inoc_post_stress,22839
KSTRAW0838,T1,Root,R07I02W01,0.0884,1,2,7,post_inoc_post_stress,10254
KSTRAW0839,T1,Shoot,R07I02W01,0.04715,1,2,7,post_inoc_post_stress,11557
KSTRAW0840,T1,Root,R08I02W01,0.1509,1,2,8,post_inoc_post_stress,7793
KSTRAW0841,T1,Shoot,R08I02W01,0.07335,1,2,8,post_inoc_post_stress,11448
KSTRAW0842,T1,Root,R09I02W01,0.2546,1,2,9,post_inoc_post_stress,18643
KSTRAW0843,T1,Root,R01I03W01,0.0511,1,3,1,post_inoc_post_stress,10768
KSTRAW0844,T1,Root,R02I03W01,0.1038,1,3,2,post_inoc_post_stress,11888
KSTRAW0845,T1,Root,R03I03W01,0.2043,1,3,3,post_inoc_post_stress,12501
KSTRAW0846,T1,Root,R04I03W01,0.2621,1,3,4,post_inoc_post_stress,6608
KSTRAW0847,T1,Root,R05I03W01,0.0304,1,3,5,post_inoc_post_stress,3832
KSTRAW0848,T1,Root,R06I03W01,0.2032,1,3,6,post_inoc_post_stress,7
KSTRAW0850,T1,Root,R08I03W01,0.2615,1,3,8,post_inoc_post_stress,19291
KSTRAW0851,T1,Root,R09I03W01,0.5181,1,3,9,post_inoc_post_stress,12372
KSTRAW0852,T1,Root,R10I03W01,0.1227,1,3,10,post_inoc_post_stress,10756
KSTRAW0853,T1,Root,R11I03W01,0.0301,1,3,11,post_inoc_post_stress,10179
KSTRAW0854,T1,Root,R12I03W01,0.0959,1,3,12,post_inoc_post_stress,556
KSTRAW0855,T1,Root,R13I03W01,0.3581,1,3,13,post_inoc_post_stress,30847
KSTRAW0856,T1,Root,R14I03W01,0.1528,1,3,14,post_inoc_post_stress,14328
KSTRAW0859,T1,Root,R03I04W01,0.1443,1,4,3,post_inoc_post_stress,594
KSTRAW0860,T1,Root,R04I04W01,0.1201,1,4,4,post_inoc_post_stress,12322
KSTRAW0861,T1,Root,R05I04W01,0.1131,1,4,5,post_inoc_post_stress,1249
KSTRAW0862,T1,Root,R06I04W01,0.0451,1,4,6,post_inoc_post_stress,606
KSTRAW0863,T1,Root,R07I04W01,0.1961,1,4,7,post_inoc_post_stress,25300
KSTRAW0864,T1,Root,R08I04W01,0.1217,1,4,8,post_inoc_post_stress,7576
KSTRAW0865,T1,Root,R09I04W01,0.2347,1,4,9,post_inoc_post_stress,6725
KSTRAW0866,T1,Root,R10I04W01,0.0445,1,4,10,post_inoc_post_stress,13864
KSTRAW0867,T1,Root,R11I04W01,0.0811,1,4,11,post_inoc_post_stress,777
KSTRAW0868,T1,Root,R12I04W01,0.0785,1,4,12,post_inoc_post_stress,10215
KSTRAW0869,T1,Root,R13I04W01,0.3013,1,4,13,post_inoc_post_stress,13022
KSTRAW0870,T1,Root,R14I04W01,0.2076,1,4,14,post_inoc_post_stress,4047
KSTRAW0871,T1,Root,R01I05W01,0.2357,1,5,1,post_inoc_post_stress,595
KSTRAW0872,T1,Root,R02I05W01,0.08541,1,5,2,post_inoc_post_stress,6383
KSTRAW0873,T1,Root,R03I05W01,0.0288,1,5,3,post_inoc_post_stress,901
KSTRAW0874,T1,Root,R04I05W01,0.0469,1,5,4,post_inoc_post_stress,641
KSTRAW0875,T1,Root,R05I05W01,0.1002,1,5,5,post_inoc_post_stress,3665
KSTRAW0876,T1,Root,R06I05W01,0.2749,1,5,6,post_inoc_post_stress,4329
KSTRAW0877,T1,Root,R07I05W01,0.3748,1,5,7,post_inoc_post_stress,19008
KSTRAW0878,T1,Root,R08I05W01,0.2768,1,5,8,post_inoc_post_stress,638
KSTRAW0879,T1,Root,R09I05W01,0.17031,1,5,9,post_inoc_post_stress,7345
KSTRAW0880,T1,Root,R10I05W01,0.3801,1,5,10,post_inoc_post_stress,7232
KSTRAW0881,T1,Root,R11I05W01,0.41185,1,5,11,post_inoc_post_stress,6451
KSTRAW0883,T1,Root,R13I05W01,0.05383,1,5,13,post_inoc_post_stress,579
KSTRAW0884,T1,Root,R14I05W01,0.14917,1,5,14,post_inoc_post_stress,391
KSTRAW0899,T1,Root,R01I01W02,0.1108,2,1,1,post_inoc_post_stress,12452
KSTRAW0900,T1,Root,R02I01W02,0.1343,2,1,2,post_inoc_post_stress,8425
KSTRAW0901,T1,Root,R03I01W02,0.1755,2,1,3,post_inoc_post_stress,5488
KSTRAW0902,T1,Root,R04I01W02,0.1444,2,1,4,post_inoc_post_stress,28905
KSTRAW0903,T1,Root,R05I01W02,0.2316,2,1,5,post_inoc_post_stress,19868
KSTRAW0904,T1,Root,R06I01W02,0.0768,2,1,6,post_inoc_post_stress,12959
KSTRAW0905,T1,Root,R07I01W02,0.2833,2,1,7,post_inoc_post_stress,13107
KSTRAW0906,T1,Root,R08I01W02,0.0777,2,1,8,post_inoc_post_stress,2842
KSTRAW0907,T1,Root,R09I01W02,0.0602,2,1,9,post_inoc_post_stress,19303
KSTRAW0908,T1,Root,R10I01W02,0.0646,2,1,10,post_inoc_post_stress,12067
KSTRAW0909,T1,Root,R11I01W02,0.2615,2,1,11,post_inoc_post_stress,24548
KSTRAW0910,T1,Root,R12I01W02,0.0634,2,1,12,post_inoc_post_stress,16
